0.000,0.000,0.000,2.023,306.250,-8449.000,3616.000
0.012,0.500,0.043,2.585,241.750,-8568.000,3616.000
0.015,0.500,5.073,2.874,312.750,-11390.000,3584.000
0.074,0.500,5.383,2.910,432.250,-11390.000,3584.000
0.229,0.500,5.382,1.632,146.000,-14433.000,3584.000
0.462,0.500,6.712,2.411,118.750,-15504.000,3616.000
0.610,0.500,6.295,2.607,440.750,-13889.000,3552.000
0.838,0.500,6.386,1.688,339.250,-14178.000,3616.000
1.178,0.500,7.466,2.768,324.250,-13736.000,3552.000
1.468,0.500,7.181,2.875,307.000,-13855.000,3552.000
1.764,0.500,7.356,1.714,161.750,-13702.000,3584.000
2.124,0.500,7.256,2.701,108.500,-13464.000,3584.000
2.399,0.500,7.009,2.595,484.250,-14212.000,3616.000
2.735,0.474,6.822,1.743,340.500,-13651.000,3584.000
3.072,0.500,6.627,2.905,306.500,-14943.000,3616.000
3.337,0.500,6.492,2.487,308.000,-13294.000,3552.000
3.643,0.500,6.394,1.492,162.250,-13736.000,3552.000
3.992,0.500,6.404,2.661,140.000,-14042.000,3552.000
4.338,0.500,6.333,2.865,147.000,-13515.000,3552.000
4.650,0.500,6.228,3.213,185.500,-13617.000,3584.000
4.954,0.500,6.121,2.704,311.250,-14042.000,3616.000
5.258,0.500,6.004,3.004,337.750,-13702.000,3584.000
5.555,0.500,5.952,3.426,415.000,-14841.000,3616.000
5.719,0.500,5.911,2.347,50.250,-13498.000,3552.000
5.917,0.500,6.490,3.157,181.750,-14025.000,3584.000
6.230,0.500,6.474,2.117,370.500,-13311.000,3520.000
6.561,0.500,6.533,1.800,156.750,-14875.000,3520.000
6.882,0.500,6.583,2.328,131.750,-14552.000,3584.000
7.135,0.500,8.436,3.076,374.000,-13532.000,3552.000
7.350,0.500,8.779,1.935,173.000,-13532.000,3552.000
7.752,0.500,8.672,2.753,151.750,-15487.000,3584.000
8.041,0.500,8.566,2.544,433.250,-14127.000,3584.000
8.385,0.500,8.603,1.811,340.750,-14110.000,3552.000
8.695,0.500,8.515,2.300,288.250,-14110.000,3552.000
9.017,0.500,8.415,3.052,229.750,-14875.000,3584.000
9.331,0.500,8.312,3.021,346.000,-13702.000,3520.000
9.651,0.500,8.390,3.191,501.500,-14365.000,3520.000
9.850,0.500,8.404,2.929,353.750,-13821.000,3552.000
10.009,0.500,8.501,3.199,143.750,-13702.000,3552.000
10.125,0.500,8.791,3.441,166.500,-14246.000,3584.000
10.212,0.500,8.688,3.066,131.250,-15368.000,3584.000
10.343,0.500,8.757,2.803,211.500,-15368.000,3584.000
10.579,0.500,8.710,3.242,294.000,-14569.000,3584.000
10.879,0.500,8.627,3.132,284.500,-14144.000,3520.000
10.963,0.500,8.817,2.810,99.750,-14858.000,3520.000
11.053,0.500,8.798,2.100,192.000,-13906.000,3552.000
11.299,0.500,8.757,2.872,142.250,-14076.000,3552.000
11.694,0.500,9.109,2.052,127.000,-14620.000,3584.000
12.294,0.500,9.206,3.131,381.000,-13821.000,3584.000
12.945,0.500,9.187,2.980,230.250,-14926.000,3616.000
13.638,0.500,9.247,3.042,238.000,-14008.000,3552.000
14.413,0.500,9.316,2.168,134.250,-14722.000,3520.000
15.243,0.500,9.256,2.779,117.500,-14722.000,3520.000
16.064,0.500,9.246,3.044,334.000,-14824.000,3552.000
17.094,0.500,9.166,3.260,456.500,-13668.000,3552.000
17.938,0.500,9.142,2.169,318.500,-14450.000,3584.000
18.795,0.500,9.070,2.259,275.250,-13804.000,3584.000
19.286,0.500,9.002,2.068,243.500,-14875.000,3584.000
19.888,0.500,8.950,3.221,203.500,-13906.000,3584.000
20.588,0.500,8.911,1.942,136.750,-15300.000,3584.000
21.131,0.500,8.877,1.818,182.750,-13634.000,3520.000
21.675,0.500,8.869,3.050,286.500,-14144.000,3552.000
22.421,0.500,8.838,2.294,295.750,-13566.000,3520.000
23.025,0.500,8.801,2.001,176.750,-14416.000,3520.000
23.598,0.500,8.772,2.240,227.000,-14076.000,3584.000
23.829,0.500,8.709,0.203,93.000,-14076.000,3584.000
24.041,0.500,8.648,3.601,302.250,-15011.000,3552.000
24.219,0.500,8.633,2.576,408.500,-15674.000,3584.000
24.545,0.500,8.613,2.285,434.750,-14875.000,3520.000
24.726,0.500,8.557,2.327,310.500,-14790.000,3552.000
24.821,0.500,8.500,2.908,236.250,-13974.000,3520.000
24.929,0.500,8.453,2.140,236.750,-14263.000,3520.000
25.037,0.500,8.401,1.968,220.750,-14025.000,3552.000
25.119,0.500,8.387,3.090,441.500,-14297.000,3552.000
25.232,0.500,8.336,1.599,567.000,-15232.000,3584.000
25.390,0.500,8.299,2.226,250.750,-14144.000,3552.000
25.555,0.500,8.284,2.963,206.000,-14280.000,3584.000
25.727,0.500,8.262,2.323,349.750,-14212.000,3520.000
