0.000,0.184,0.000,2.742,243.000,-13379.000,3392.000
0.126,0.184,1.437,2.007,255.250,-13430.000,3424.000
0.184,0.250,2.452,2.387,184.000,-13209.000,3424.000
0.252,0.250,2.786,3.391,220.500,-12852.000,3392.000
0.326,0.250,3.160,2.611,166.500,-13464.000,3360.000
0.416,0.250,2.996,2.475,444.000,-13175.000,3392.000
0.544,0.250,3.770,3.016,432.500,-13498.000,3392.000
0.678,0.220,3.783,2.229,183.000,-13005.000,3392.000
0.774,0.167,3.990,2.073,180.250,-14008.000,3424.000
0.900,0.000,3.822,2.529,495.000,-13022.000,3424.000
1.007,0.000,3.713,2.222,321.750,-8466.000,3424.000
REACHED GOAL 1
1.065,0.000,3.606,2.131,436.750,-8364.000,3424.000
1.139,0.000,3.631,2.533,465.750,-11832.000,3424.000
1.257,0.000,3.955,2.549,379.750,-13957.000,3424.000
1.347,0.000,3.878,1.842,232.000,-13192.000,3392.000
1.401,0.000,3.814,2.655,441.500,-12903.000,3360.000
1.513,0.000,3.730,2.666,419.750,-13328.000,3424.000
1.568,0.000,3.758,2.792,494.250,-13175.000,3424.000
1.666,0.000,4.029,3.289,403.500,-13600.000,3392.000
1.758,0.000,4.028,2.563,378.750,-13192.000,3392.000
1.861,0.000,3.988,2.399,219.250,-13005.000,3360.000
1.971,0.224,3.957,3.003,202.250,-13430.000,3392.000
2.036,0.224,3.988,2.696,178.250,-13957.000,3392.000
2.261,0.237,3.951,2.328,419.500,-13277.000,3392.000
2.415,0.250,3.909,3.008,387.250,-13209.000,3392.000
2.497,0.237,4.497,2.829,392.000,-12903.000,3360.000
2.584,0.237,4.428,1.991,234.000,-13090.000,3392.000
2.705,0.250,4.392,2.313,191.250,-13209.000,3392.000
2.768,0.250,4.328,2.579,343.500,-12988.000,3424.000
2.844,0.250,4.554,2.412,363.500,-13090.000,3392.000
2.936,0.237,4.552,2.537,390.250,-12376.000,3360.000
3.024,0.237,4.491,3.277,411.000,-13073.000,3392.000
3.139,0.237,4.792,2.289,410.750,-13209.000,3424.000
3.262,0.250,4.789,2.128,236.000,-12784.000,3424.000
3.382,0.250,4.834,2.851,358.500,-12954.000,3392.000
3.519,0.250,5.216,2.984,214.750,-12682.000,3360.000
3.635,0.250,5.363,2.167,198.000,-13005.000,3360.000
3.762,0.198,5.347,2.838,442.750,-12937.000,3424.000
3.829,0.186,5.283,2.213,294.500,-12733.000,3424.000
4.034,0.201,5.240,2.299,434.500,-13005.000,3392.000
4.182,0.196,5.463,1.938,394.750,-13175.000,3360.000
4.246,0.170,5.401,1.896,258.250,-12801.000,3360.000
4.366,0.143,5.390,2.136,190.500,-12920.000,3392.000
4.536,0.000,5.331,2.179,308.000,-8313.000,3424.000
REACHED GOAL 2
4.909,0.000,5.274,2.064,299.000,-8092.000,3424.000
4.978,0.000,5.219,2.073,300.000,-8024.000,3424.000
ABORTED
5.048,0.000,5.165,2.022,297.500,-8092.000,3424.000
ABORTED
5.092,0.000,5.114,2.049,299.000,-8075.000,3424.000
ABORTED
5.155,0.000,5.133,2.423,283.250,-12920.000,3424.000
ABORTED
5.351,0.000,5.084,2.253,309.000,-8466.000,3424.000
ABORTED
5.409,0.000,5.036,2.007,291.250,-8398.000,3424.000
ABORTED
