15.010,0.228,4.563,3.269,391.250,-12682.000,3712.000
15.212,0.249,4.555,2.798,437.750,-12699.000,3712.000
15.436,0.249,4.543,2.773,345.500,-12580.000,3712.000
15.628,0.250,4.593,2.263,315.000,-12546.000,3712.000
15.781,0.249,4.572,3.060,196.500,-12665.000,3712.000
15.938,0.229,4.553,2.013,373.000,-12665.000,3712.000
16.107,0.209,4.603,2.106,304.750,-12648.000,3680.000
16.258,0.204,4.714,2.860,230.500,-12189.000,3680.000
16.396,0.186,4.698,2.879,349.500,-12393.000,3680.000
16.530,0.175,4.683,2.162,207.250,-12308.000,3680.000
16.681,0.170,4.675,1.938,259.250,-12308.000,3680.000
16.853,0.154,4.660,3.216,394.750,-12223.000,3712.000
16.998,0.000,4.642,2.975,393.250,-12325.000,3744.000
17.151,0.000,4.620,2.100,298.750,-7990.000,3744.000
REACHED GOAL 3
